practice_code,region,registered_patients,gp_fte
A81001,"North East and Yorkshire",3899,3.92
A81002,"North East and Yorkshire",18760,9.91
A81004,"North East and Yorkshire",11332,3.27
A81005,"North East and Yorkshire",7691,6.44
A81006,"North East and Yorkshire",14749,8.43
A81007,"North East and Yorkshire",10591,10.91
A81009,"North East and Yorkshire",8155,2.95
A81011,"North East and Yorkshire",11841,3.80
A81012,"North East and Yorkshire",5595,3.35
A81013,"North East and Yorkshire",7613,4.07
A81014,"North East and Yorkshire",4158,1.35
A81016,"North East and Yorkshire",12264,3.65
A81017,"North East and Yorkshire",18331,8.74
A81018,"North East and Yorkshire",10153,3.56
A81019,"North East and Yorkshire",8922,4.20
A81020,"North East and Yorkshire",7913,4.07
A81021,"North East and Yorkshire",22910,10.49
A81022,"North East and Yorkshire",9390,6.23
A81023,"North East and Yorkshire",8729,3.23
A81025,"North East and Yorkshire",4089,4.25
A81026,"North East and Yorkshire",20918,11.13
A81027,"North East and Yorkshire",14633,8.44
A81029,"North East and Yorkshire",7211,4.45
A81030,"North East and Yorkshire",16655,11.01
A81031,"North East and Yorkshire",13711,9.23
A81032,"North East and Yorkshire",11573,8.66
A81034,"North East and Yorkshire",20898,18.75
A81035,"North East and Yorkshire",9785,6.33
A81036,"North East and Yorkshire",16425,9.09
A81037,"North East and Yorkshire",6673,3.27
A81038,"North East and Yorkshire",3793,1.96
A81039,"North East and Yorkshire",12581,7.96
A81040,"North East and Yorkshire",8517,5.90
A81041,"North East and Yorkshire",9436,4.03
A81042,"North East and Yorkshire",15380,12.39
A81044,"North East and Yorkshire",18976,13.51
A81045,"North East and Yorkshire",6219,4.84
A81046,"North East and Yorkshire",12383,8.77
A81048,"North East and Yorkshire",6987,4.85
A81049,"North East and Yorkshire",6489,4.99
A81051,"North East and Yorkshire",7279,3.33
A81052,"North East and Yorkshire",10136,6.89
A81053,"North East and Yorkshire",5888,3.24
A81054,"North East and Yorkshire",8546,3.56
A81056,"North East and Yorkshire",2393,1.22
A81057,"North East and Yorkshire",9846,5.33
A81058,"North East and Yorkshire",9235,5.71
A81060,"North East and Yorkshire",6277,1.60
A81063,"North East and Yorkshire",5357,2.11
A81064,"North East and Yorkshire",8586,1.97
A81065,"North East and Yorkshire",3717,0.40
A81066,"North East and Yorkshire",5410,4.07
